"Viewer version","2.91"
"Measure start time","13 May 2025 12:44:44"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"6","0.6716","-380.200"
"7","0.7671","-378.600"
"8","0.9109","-374.000"
"9","0.9911","-371.400"
"10","1.0548","-367.600"
"11","1.1826","-363.800"
"12","1.2787","-361.400"
"13","1.3903","-357.800"
"14","1.4701","-355.400"
"15","1.5820","-352.800"
"16","1.6619","-349.800"
"17","1.7739","-347.800"
"18","1.9017","-344.200"
"19","1.9977","-340.200"
"20","2.0936","-339.600"
"21","2.1735","-336.600"
"22","2.2693","-335.000"
"23","2.3653","-331.200"
"24","2.4611","-327.600"
"25","2.5570","-323.600"
"26","2.6529","-323.200"
"27","2.7808","-321.800"
"28","2.8766","-317.800"
"29","2.9884","-316.800"
"30","3.0842","-313.600"
"31","3.1801","-309.400"
"32","3.2762","-308.000"
"33","3.3721","-304.000"
"34","3.4679","-301.600"
"35","3.5636","-299.000"
"36","3.6597","-295.600"
"37","3.7556","-293.400"
"38","3.8994","-291.400"
"39","3.9951","-288.200"
"40","4.0592","-286.200"
"41","4.1549","-285.000"
"42","4.2514","-283.000"
"43","4.3625","-284.000"
"44","4.4586","-279.000"
"45","4.5705","-279.000"
"46","4.6664","-277.000"
"47","4.7622","-273.800"
"48","4.8581","-274.600"
"49","4.9539","-275.000"
"50","5.0978","-273.200"
"51","5.1934","-270.400"
"52","5.2894","-267.800"
"53","5.3531","-268.000"
"54","5.4493","-263.400"
"55","5.5449","-264.200"
"56","5.6729","-261.400"
"57","5.7685","-259.200"
"58","5.8646","-257.000"
"59","5.9603","-255.800"
"60","6.0566","-256.200"
"61","6.1523","-256.600"
"62","6.2481","-255.600"
"63","6.3440","-253.000"
"64","6.4719","-255.600"
"65","6.5679","-252.000"
"66","6.6638","-251.400"
"67","6.7597","-251.200"
"68","6.8554","-249.200"
"69","6.9834","-246.200"
"70","7.0792","-246.800"
"71","7.1431","-244.600"
"72","7.2390","-241.400"
"73","7.3669","-242.600"
"74","7.4789","-238.600"
"75","7.5745","-235.800"
"76","7.6704","-234.000"
"77","7.7503","-232.000"
"78","7.8462","-233.000"
"79","7.9420","-231.200"
"80","8.0386","-230.200"
"81","8.1658","-227.800"
"82","8.2616","-227.000"
"83","8.3573","-225.600"
"84","8.4534","-225.600"
"85","8.5491","-224.200"
"86","8.6450","-222.800"
"87","8.7415","-222.000"
"88","8.8696","-220.400"
"89","8.9489","-222.200"
"90","9.0448","-220.800"
"91","9.1406","-219.600"
"92","9.2364","-219.600"
"93","9.3323","-216.000"
"94","9.4762","-213.600"
"95","9.5401","-212.800"
"96","9.6361","-210.200"
"97","9.7320","-208.000"
"98","9.8597","-206.600"
"99","9.9395","-203.800"
"100","10.0353","-202.000"
"101","10.1313","-199.200"
"102","10.2273","-198.800"
"103","10.3548","-196.200"
"104","10.4347","-196.600"
"105","10.5312","-197.600"
"106","10.6268","-195.200"
"107","10.7707","-197.000"
"108","10.8664","-194.600"
"109","10.9619","-195.600"
"110","11.0417","-194.200"
"111","11.1376","-193.400"
"112","11.2338","-191.600"
"113","11.3297","-192.600"
"114","11.4257","-192.000"
"115","11.5213","-187.200"
"116","11.6492","-185.800"
"117","11.7293","-186.200"
"118","11.8567","-184.200"
"119","11.9531","-182.600"
"120","12.0327","-182.400"
"121","12.1286","-180.400"
"122","12.2244","-180.000"
"123","12.3203","-178.400"
"124","12.4482","-178.800"
"125","12.5439","-176.200"
"126","12.6400","-174.600"
"127","12.7197","-172.400"
"128","12.8156","-169.600"
"129","12.9436","-168.600"
"130","13.0392","-168.200"
"131","13.1356","-166.000"
"132","13.2311","-165.200"
"133","13.3269","-161.800"
"134","13.4227","-160.600"
"135","13.5189","-158.000"
"136","13.6149","-157.000"
"137","13.7427","-157.200"
"138","13.8385","-155.200"
"139","13.9187","-153.600"
"140","14.0142","-153.400"
"141","14.1100","-152.000"
"142","14.2377","-152.800"
"143","14.3336","-152.400"
"144","14.4135","-151.800"
"145","14.5573","-152.600"
"146","14.6213","-152.800"
"147","14.7173","-152.200"
"148","14.8128","-152.400"
"149","14.9090","-152.600"
"150","15.0366","-150.200"
"151","15.1325","-150.000"
