"Viewer version","2.91"
"Measure start time","14 May 2025 11:19:14"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","100"
"Timing information","Relative"
"Article code","SLG64-0075          "
"Serial Number","140900018"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM10, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","5"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [nl/min]"
"8","0.8631","319.000"
"9","0.9751","317.800"
"10","1.0707","312.600"
"11","1.1667","311.200"
"12","1.3103","309.000"
"13","1.3743","305.400"
"14","1.4701","303.000"
"15","1.5660","300.400"
"16","1.6618","299.000"
"17","1.8055","295.800"
"18","1.9012","293.800"
"19","1.9652","291.000"
"20","2.0609","289.000"
"21","2.1572","286.200"
"22","2.3009","283.400"
"23","2.3965","280.000"
"24","2.4926","276.600"
"25","2.5725","275.000"
"26","2.6691","269.800"
"27","2.7643","266.400"
"28","2.8758","266.400"
"29","2.9718","262.600"
"30","3.0837","259.400"
"31","3.1796","256.400"
"32","3.2758","253.400"
"33","3.3713","250.800"
"34","3.4672","249.600"
"35","3.5630","248.400"
"36","3.6908","245.600"
"37","3.7867","243.200"
"38","3.8507","240.200"
"39","3.9467","238.800"
"40","4.0751","238.800"
"41","4.1543","236.200"
"42","4.2983","233.200"
"43","4.3941","232.800"
"44","4.4580","229.000"
"45","4.5539","226.800"
"46","4.6498","225.000"
"47","4.7935","224.400"
"48","4.8894","221.800"
"49","4.9851","218.200"
"50","5.0494","216.400"
"51","5.1453","215.000"
"52","5.2731","211.600"
"53","5.3531","208.200"
"54","5.4967","206.400"
"55","5.5764","205.400"
"56","5.6405","202.000"
"57","5.7685","201.400"
"58","5.8481","198.200"
"59","5.9920","194.600"
"60","6.0879","192.600"
"61","6.1840","189.600"
"62","6.2475","186.000"
"63","6.3435","186.000"
"64","6.4713","183.800"
"65","6.5674","180.200"
"66","6.6632","178.200"
"67","6.7593","177.600"
"68","6.8389","177.600"
"69","6.9668","176.200"
"70","7.0627","175.400"
"71","7.1588","175.000"
"72","7.2543","172.200"
"73","7.3822","170.400"
"74","7.4781","169.000"
"75","7.5742","166.800"
"76","7.6379","166.600"
"77","7.7660","164.600"
"78","7.8615","161.800"
"79","7.9575","159.200"
"80","8.0533","158.400"
"81","8.1492","157.400"
"82","8.2452","156.400"
"83","8.3411","153.800"
"84","8.4368","151.000"
"85","8.5649","149.600"
"86","8.6605","148.600"
"87","8.7565","146.000"
"88","8.8524","144.600"
"89","8.9482","143.800"
"90","9.0440","140.600"
"91","9.1401","137.800"
"92","9.2839","136.000"
"93","9.3796","134.400"
"94","9.4436","134.600"
"95","9.5395","133.400"
"96","9.6353","132.600"
"97","9.7793","132.000"
"98","9.8750","130.600"
"99","9.9709","130.200"
"100","10.0349","127.800"
"101","10.1309","127.200"
"102","10.2587","124.800"
"103","10.3545","122.600"
"104","10.4503","122.000"
"105","10.5464","122.200"
"106","10.6264","124.000"
"107","10.7543","123.000"
"108","10.8498","120.400"
"109","10.9462","120.600"
"110","11.0417","121.200"
"111","11.1375","120.400"
"112","11.2335","120.000"
"113","11.3293","118.200"
"114","11.4253","116.400"
"115","11.5532","115.800"
"116","11.6649","113.600"
"117","11.7608","109.400"
"118","11.8405","107.200"
"119","11.9366","104.000"
"120","12.0324","102.600"
"121","12.1284","101.400"
"122","12.2719","100.400"
"123","12.3677","99.400"
"124","12.4316","98.600"
"125","12.5278","98.600"
"126","12.6240","97.600"
"127","12.7514","96.400"
"128","12.8314","99.000"
"129","12.9272","99.000"
"130","13.0389","97.600"
"131","13.1347","97.200"
"132","13.2307","95.400"
"133","13.3266","96.200"
"134","13.4545","96.400"
"135","13.5505","95.000"
"136","13.6461","94.200"
"137","13.7261","93.600"
"138","13.8219","92.200"
"139","13.9183","91.000"
"140","14.0456","87.400"
"141","14.1577","85.000"
"142","14.2534","86.000"
"143","14.3494","84.800"
"144","14.4131","82.000"
"145","14.5409","81.200"
"146","14.6368","81.200"
"147","14.7327","81.200"
"148","14.8608","82.400"
"149","14.9564","80.600"
"150","15.0523","78.200"
"151","15.1166","80.200"
"152","15.2123","78.600"
"153","15.3403","75.200"
"154","15.4201","75.800"
"155","15.5644","74.800"
"156","15.6438","71.400"
"157","15.7077","73.200"
"158","15.8355","72.600"
"159","15.9315","71.400"
"160","16.0274","72.000"
"161","16.1234","71.800"
"162","16.2192","72.600"
"163","16.3472","71.600"
"164","16.4108","71.400"
"165","16.5066","70.600"
"166","16.6351","68.400"
"167","16.7305","66.600"
"168","16.8265","64.800"
"169","16.9065","63.400"
"170","17.0342","62.400"
"171","17.1304","62.600"
"172","17.2259","60.000"
"173","17.3220","58.200"
"174","17.4177","57.800"
"175","17.5139","58.800"
"176","17.6097","56.000"
"177","17.7055","56.000"
"178","17.8174","52.200"
"179","17.9132","50.600"
"180","18.0568","50.000"
"181","18.1209","52.200"
"182","18.2169","51.600"
"183","18.3127","51.000"
"184","18.4086","48.600"
"185","18.5044","47.400"
"186","18.6481","46.600"
"187","18.7120","46.400"
"188","18.8078","46.800"
"189","18.9037","46.800"
"190","18.9996","45.800"
"191","19.1116","45.000"
"192","19.2076","44.600"
"193","19.3514","44.600"
"194","19.4153","43.600"
"195","19.5111","44.600"
"196","19.6070","40.600"
"197","19.7029","40.200"
"198","19.8307","42.200"
"199","19.9266","43.200"
"200","20.0222","41.200"
"201","20.1183","40.400"
"202","20.2143","41.200"
"203","20.3104","39.400"
"204","20.4223","39.800"
"205","20.5181","37.600"
"206","20.6139","39.800"
"207","20.7097","37.200"
"208","20.8058","38.000"
"209","20.9014","37.800"
"210","20.9974","39.200"
"211","21.1253","37.600"
"212","21.2211","38.800"
"213","21.3169","38.000"
"214","21.4127","36.600"
"215","21.5088","36.200"
"216","21.6046","35.400"
"217","21.7325","38.400"
"218","21.8283","35.600"
"219","21.9081","34.800"
"220","22.0040","34.400"
"221","22.1002","34.800"
"222","22.1960","32.800"
"223","22.2916","30.600"
"224","22.4037","32.000"
"225","22.4994","32.000"
"226","22.5955","30.200"
"227","22.6912","27.800"
"228","22.7873","28.800"
"229","22.9151","29.600"
"230","22.9951","30.000"
"231","23.0910","28.600"
"232","23.2346","28.200"
"233","23.3146","31.200"
"234","23.3785","31.400"
"235","23.5060","32.000"
"236","23.6020","32.000"
"237","23.7138","33.200"
"238","23.8099","33.400"
"239","23.9057","34.800"
"240","24.0014","36.200"
"241","24.0974","36.000"
"242","24.1933","36.200"
"243","24.3211","35.800"
"244","24.4169","34.800"
"245","24.4970","35.400"
"246","24.5928","33.000"
"247","24.6885","32.400"
"248","24.7846","33.600"
"249","24.9125","32.800"
"250","25.0083","32.400"
"251","25.1040","31.800"
"252","25.2003","33.000"
"253","25.2959","34.600"
